candidate_id,kind,hidden_layer_sizes,hidden_layer_count,max_hidden_width,activation,alpha,optimizer,seed,input_dim,output_dim,parameter_count,complexity_score,complexity_order,complexity_label,train_top1_hit_rate,validation_top1_hit_rate,top1_hit_rate_gap,train_mean_regret,validation_mean_regret,mean_regret_gap,fit_seconds
mlp_layers=8_act=relu_alpha=0.0001,torch_mlp,"(8,)",1,8,relu,0.0001,torch_lbfgs,215,106,3,883,883.0,1,torch mlp 8 relu a=0.0001,0.776408,0.382114,0.394294,0.071479,0.339837,0.268358,0.125589
mlp_layers=8_act=relu_alpha=0.001,torch_mlp,"(8,)",1,8,relu,0.001,torch_lbfgs,215,106,3,883,883.0,2,torch mlp 8 relu a=0.001,0.795775,0.414634,0.381141,0.063732,0.310569,0.246837,0.124821
mlp_layers=8_act=relu_alpha=0.01,torch_mlp,"(8,)",1,8,relu,0.01,torch_lbfgs,215,106,3,883,883.0,3,torch mlp 8 relu a=0.01,0.818662,0.382114,0.436548,0.055986,0.321951,0.265965,0.125484
mlp_layers=8_act=relu_alpha=0.1,torch_mlp,"(8,)",1,8,relu,0.1,torch_lbfgs,215,106,3,883,883.0,4,torch mlp 8 relu a=0.1,0.801056,0.439024,0.362032,0.064085,0.310569,0.246484,0.12581
mlp_layers=8_act=tanh_alpha=0.0001,torch_mlp,"(8,)",1,8,tanh,0.0001,torch_lbfgs,215,106,3,883,883.0,5,torch mlp 8 tanh a=0.0001,0.806338,0.463415,0.342923,0.063732,0.271545,0.207813,0.135717
mlp_layers=8_act=tanh_alpha=0.001,torch_mlp,"(8,)",1,8,tanh,0.001,torch_lbfgs,215,106,3,883,883.0,6,torch mlp 8 tanh a=0.001,0.806338,0.398374,0.407964,0.06338,0.299187,0.235807,0.154398
mlp_layers=8_act=tanh_alpha=0.01,torch_mlp,"(8,)",1,8,tanh,0.01,torch_lbfgs,215,106,3,883,883.0,7,torch mlp 8 tanh a=0.01,0.823944,0.455285,0.368659,0.053521,0.271545,0.218024,0.137788
mlp_layers=8_act=tanh_alpha=0.1,torch_mlp,"(8,)",1,8,tanh,0.1,torch_lbfgs,215,106,3,883,883.0,8,torch mlp 8 tanh a=0.1,0.794014,0.439024,0.35499,0.06162,0.291057,0.229437,0.151145
mlp_layers=16_act=relu_alpha=0.0001,torch_mlp,"(16,)",1,16,relu,0.0001,torch_lbfgs,215,106,3,1763,1763.0,9,torch mlp 16 relu a=0.0001,0.966549,0.463415,0.503134,0.007746,0.274797,0.267051,0.130241
mlp_layers=16_act=relu_alpha=0.001,torch_mlp,"(16,)",1,16,relu,0.001,torch_lbfgs,215,106,3,1763,1763.0,10,torch mlp 16 relu a=0.001,0.96831,0.471545,0.496765,0.007042,0.263415,0.256373,0.129264
mlp_layers=16_act=relu_alpha=0.01,torch_mlp,"(16,)",1,16,relu,0.01,torch_lbfgs,215,106,3,1763,1763.0,11,torch mlp 16 relu a=0.01,0.977113,0.447154,0.529959,0.005282,0.258537,0.253255,0.130846
mlp_layers=16_act=relu_alpha=0.1,torch_mlp,"(16,)",1,16,relu,0.1,torch_lbfgs,215,106,3,1763,1763.0,12,torch mlp 16 relu a=0.1,0.973592,0.463415,0.510177,0.005634,0.281301,0.275667,0.129405
mlp_layers=16_act=tanh_alpha=0.0001,torch_mlp,"(16,)",1,16,tanh,0.0001,torch_lbfgs,215,106,3,1763,1763.0,13,torch mlp 16 tanh a=0.0001,0.985915,0.455285,0.53063,0.002817,0.279675,0.276858,0.138899
mlp_layers=16_act=tanh_alpha=0.001,torch_mlp,"(16,)",1,16,tanh,0.001,torch_lbfgs,215,106,3,1763,1763.0,14,torch mlp 16 tanh a=0.001,0.985915,0.463415,0.5225,0.002817,0.279675,0.276858,0.138885
mlp_layers=16_act=tanh_alpha=0.01,torch_mlp,"(16,)",1,16,tanh,0.01,torch_lbfgs,215,106,3,1763,1763.0,15,torch mlp 16 tanh a=0.01,0.991197,0.487805,0.503392,0.001761,0.247154,0.245393,0.138788
mlp_layers=16_act=tanh_alpha=0.1,torch_mlp,"(16,)",1,16,tanh,0.1,torch_lbfgs,215,106,3,1763,1763.0,16,torch mlp 16 tanh a=0.1,0.989437,0.463415,0.526022,0.002113,0.252033,0.24992,0.138055
mlp_layers=32_act=relu_alpha=0.0001,torch_mlp,"(32,)",1,32,relu,0.0001,torch_lbfgs,215,106,3,3523,3523.0,17,torch mlp 32 relu a=0.0001,1.0,0.430894,0.569106,0.0,0.307317,0.307317,0.121113
mlp_layers=32_act=relu_alpha=0.001,torch_mlp,"(32,)",1,32,relu,0.001,torch_lbfgs,215,106,3,3523,3523.0,18,torch mlp 32 relu a=0.001,1.0,0.447154,0.552846,0.0,0.291057,0.291057,0.128253
mlp_layers=32_act=relu_alpha=0.01,torch_mlp,"(32,)",1,32,relu,0.01,torch_lbfgs,215,106,3,3523,3523.0,19,torch mlp 32 relu a=0.01,1.0,0.422764,0.577236,0.0,0.307317,0.307317,0.198127
mlp_layers=32_act=relu_alpha=0.1,torch_mlp,"(32,)",1,32,relu,0.1,torch_lbfgs,215,106,3,3523,3523.0,20,torch mlp 32 relu a=0.1,1.0,0.430894,0.569106,0.0,0.299187,0.299187,0.18692
mlp_layers=32_act=tanh_alpha=0.0001,torch_mlp,"(32,)",1,32,tanh,0.0001,torch_lbfgs,215,106,3,3523,3523.0,21,torch mlp 32 tanh a=0.0001,1.0,0.463415,0.536585,0.0,0.271545,0.271545,0.119542
mlp_layers=32_act=tanh_alpha=0.001,torch_mlp,"(32,)",1,32,tanh,0.001,torch_lbfgs,215,106,3,3523,3523.0,22,torch mlp 32 tanh a=0.001,1.0,0.455285,0.544715,0.0,0.273171,0.273171,0.124343
mlp_layers=32_act=tanh_alpha=0.01,torch_mlp,"(32,)",1,32,tanh,0.01,torch_lbfgs,215,106,3,3523,3523.0,23,torch mlp 32 tanh a=0.01,1.0,0.398374,0.601626,0.0,0.304065,0.304065,0.193876
